"ID";"Object";"Period";"Timestamp";"Year";"Month";"Day";"Time";"Week";"Day of the week";"Initial value";"Final value";"Average value";"Min. value";"Max. value";"Sum";"Counter";"Difference";"Integral"
700;"Temp Att StA";HOUR;1766019600;2025;12;18;2;51;4;27,460;27,520;27,453;27,420;27,520;192,220;6,000;0,060;27,453
708;"Temp Att StC";HOUR;1766016000;2025;12;18;1;51;4;28,000;28,080;28,032;28,000;28,080;196,220;6,000;0,080;28,032
704;"Temp Att StB";HOUR;1766016000;2025;12;18;1;51;4;26,220;26,240;26,241;26,220;26,280;183,680;6,000;0,020;26,241
700;"Temp Att StA";HOUR;1766016000;2025;12;18;1;51;4;27,420;27,460;27,432;27,420;27,460;192,040;6,000;0,040;27,432
708;"Temp Att StC";DAY;1766012400;2025;12;18;;51;4;27,940;27,040;27,703;26,980;28,300;2909,040;90,000;-0,900;415,551
708;"Temp Att StC";HOUR;1766012400;2025;12;18;0;51;4;27,940;28,000;27,977;27,940;28,000;195,820;6,000;0,060;27,977
704;"Temp Att StB";DAY;1766012400;2025;12;18;;51;4;26,200;24,680;25,613;24,620;26,380;2688,940;90,000;-1,520;384,188
704;"Temp Att StB";HOUR;1766012400;2025;12;18;0;51;4;26,200;26,220;26,214;26,180;26,260;183,500;6,000;0,020;26,214
700;"Temp Att StA";DAY;1766012400;2025;12;18;;51;4;27,380;26,520;27,049;26,440;27,600;2867,820;91,000;-0,860;405,734
700;"Temp Att StA";HOUR;1766012400;2025;12;18;0;51;4;27,380;27,420;27,405;27,380;27,420;219,260;7,000;0,040;27,405
708;"Temp Att StC";HOUR;1766008800;2025;12;17;23;51;3;27,860;27,940;27,915;27,860;27,940;195,380;6,000;0,080;27,915
704;"Temp Att StB";HOUR;1766008800;2025;12;17;23;51;3;26,160;26,200;26,182;26,160;26,220;183,280;6,000;0,040;26,182
700;"Temp Att StA";HOUR;1766008800;2025;12;17;23;51;3;27,380;27,380;27,370;27,340;27,380;191,600;6,000;0,000;27,370
708;"Temp Att StC";HOUR;1766005200;2025;12;17;22;51;3;27,760;27,860;27,804;27,760;27,860;194,620;6,000;0,100;27,804
704;"Temp Att StB";HOUR;1766005200;2025;12;17;22;51;3;26,140;26,160;26,141;26,120;26,160;183,000;6,000;0,020;26,141
700;"Temp Att StA";HOUR;1766005200;2025;12;17;22;51;3;27,320;27,380;27,336;27,320;27,380;191,380;6,000;0,060;27,336
708;"Temp Att StC";HOUR;1766001600;2025;12;17;21;51;3;27,680;27,760;27,719;27,660;27,760;194,020;6,000;0,080;27,719
704;"Temp Att StB";HOUR;1766001600;2025;12;17;21;51;3;26,080;26,140;26,103;26,080;26,140;182,740;6,000;0,060;26,103
700;"Temp Att StA";HOUR;1766001600;2025;12;17;21;51;3;27,260;27,320;27,299;27,260;27,320;191,100;6,000;0,060;27,299
708;"Temp Att StC";HOUR;1765998000;2025;12;17;20;51;3;27,520;27,680;27,600;27,520;27,680;193,180;6,000;0,160;27,600
704;"Temp Att StB";HOUR;1765998000;2025;12;17;20;51;3;26,040;26,080;26,072;26,040;26,100;182,500;6,000;0,040;26,072
700;"Temp Att StA";HOUR;1765998000;2025;12;17;20;51;3;27,240;27,260;27,271;27,240;27,300;190,880;6,000;0,020;27,271
708;"Temp Att StC";HOUR;1765994400;2025;12;17;19;51;3;27,360;27,520;27,447;27,360;27,520;192,100;6,000;0,160;27,447
704;"Temp Att StB";HOUR;1765994400;2025;12;17;19;51;3;26,000;26,040;26,035;26,000;26,060;182,240;6,000;0,040;26,035
700;"Temp Att StA";HOUR;1765994400;2025;12;17;19;51;3;27,180;27,240;27,216;27,180;27,240;190,520;6,000;0,060;27,216
708;"Temp Att StC";HOUR;1765990800;2025;12;17;18;51;3;27,200;27,360;27,293;27,200;27,360;191,020;6,000;0,160;27,293
704;"Temp Att StB";HOUR;1765990800;2025;12;17;18;51;3;25,900;26,000;25,971;25,900;26,000;181,800;6,000;0,100;25,971
700;"Temp Att StA";HOUR;1765990800;2025;12;17;18;51;3;27,140;27,180;27,178;27,140;27,200;190,240;6,000;0,040;27,178
708;"Temp Att StC";HOUR;1765987200;2025;12;17;17;51;3;26,940;27,200;27,093;26,940;27,200;189,600;6,000;0,260;27,093
704;"Temp Att StB";HOUR;1765987200;2025;12;17;17;51;3;25,880;25,900;25,904;25,880;25,940;181,320;6,000;0,020;25,904
700;"Temp Att StA";HOUR;1765987200;2025;12;17;17;51;3;27,220;27,140;27,173;27,140;27,220;190,200;6,000;-0,080;27,173
708;"Temp Att StC";HOUR;1765983600;2025;12;17;16;51;3;26,620;26,940;26,773;26,620;26,940;187,380;6,000;0,320;26,773
704;"Temp Att StB";HOUR;1765983600;2025;12;17;16;51;3;25,740;25,880;25,815;25,720;25,880;180,740;6,000;0,140;25,815
700;"Temp Att StA";HOUR;1765983600;2025;12;17;16;51;3;27,140;27,220;27,213;27,140;27,260;190,480;6,000;0,080;27,213
708;"Temp Att StC";HOUR;1765980000;2025;12;17;15;51;3;24,580;26,620;26,004;24,580;26,620;181,420;6,000;2,040;26,004
704;"Temp Att StB";HOUR;1765980000;2025;12;17;15;51;3;25,360;25,740;25,587;25,360;25,740;179,180;6,000;0,380;25,587
700;"Temp Att StA";HOUR;1765980000;2025;12;17;15;51;3;26,960;27,140;27,094;26,960;27,180;189,660;6,000;0,180;27,094
708;"Temp Att StC";HOUR;1765976400;2025;12;17;14;51;3;26,820;24,580;25,242;24,520;26,820;177,360;6,000;-2,240;25,242
704;"Temp Att StB";HOUR;1765976400;2025;12;17;14;51;3;25,860;25,360;25,434;25,200;25,860;178,060;6,000;-0,500;25,434
700;"Temp Att StA";HOUR;1765976400;2025;12;17;14;51;3;27,100;26,960;27,014;26,920;27,100;189,080;6,000;-0,140;27,014
708;"Temp Att StC";HOUR;1765972800;2025;12;17;13;51;3;26,560;26,820;26,692;26,560;26,820;186,820;6,000;0,260;26,692
704;"Temp Att StB";HOUR;1765972800;2025;12;17;13;51;3;25,740;25,860;25,794;25,740;25,860;180,600;6,000;0,120;25,794
700;"Temp Att StA";HOUR;1765972800;2025;12;17;13;51;3;26,960;27,100;27,019;26,960;27,100;189,180;6,000;0,140;27,019
708;"Temp Att StC";HOUR;1765969200;2025;12;17;12;51;3;25,960;26,560;26,295;25,960;26,560;183,980;6,000;0,600;26,295
704;"Temp Att StB";HOUR;1765969200;2025;12;17;12;51;3;25,380;25,740;25,578;25,380;25,740;179,140;6,000;0,360;25,578
700;"Temp Att StA";HOUR;1765969200;2025;12;17;12;51;3;26,740;26,960;26,839;26,740;26,960;187,940;6,000;0,220;26,839
708;"Temp Att StC";HOUR;1765965600;2025;12;17;11;51;3;24,140;25,960;24,971;24,020;25,960;174,740;6,000;1,820;24,971
704;"Temp Att StB";HOUR;1765965600;2025;12;17;11;51;3;24,980;25,380;25,131;24,920;25,380;176,100;6,000;0,400;25,131
700;"Temp Att StA";HOUR;1765965600;2025;12;17;11;51;3;26,040;26,740;26,493;26,040;26,740;185,520;6,000;0,700;26,493
708;"Temp Att StC";HOUR;1765962000;2025;12;17;10;51;3;24,320;24,140;24,206;24,140;24,320;169,480;6,000;-0,180;24,206
704;"Temp Att StB";HOUR;1765962000;2025;12;17;10;51;3;25,500;24,980;25,286;24,980;25,500;176,780;6,000;-0,520;25,286
700;"Temp Att StA";HOUR;1765962000;2025;12;17;10;51;3;26,620;26,040;26,292;25,800;26,640;157,900;5,000;-0,580;26,292
708;"Temp Att StC";HOUR;1765958400;2025;12;17;9;51;3;24,980;24,320;24,645;24,320;24,980;172,560;6,000;-0,660;24,645
704;"Temp Att StB";HOUR;1765958400;2025;12;17;9;51;3;25,640;25,500;25,563;25,500;25,640;178,900;6,000;-0,140;25,563
700;"Temp Att StA";HOUR;1765958400;2025;12;17;9;51;3;26,680;26,620;26,651;26,620;26,680;186,540;6,000;-0,060;26,651
708;"Temp Att StC";HOUR;1765954800;2025;12;17;8;51;3;26,640;24,980;25,570;24,980;26,640;179,320;6,000;-1,660;25,570
704;"Temp Att StB";HOUR;1765954800;2025;12;17;8;51;3;26,040;25,640;25,847;25,640;26,040;180,780;6,000;-0,400;25,847
700;"Temp Att StA";HOUR;1765954800;2025;12;17;8;51;3;26,820;26,680;26,804;26,680;26,840;187,540;6,000;-0,140;26,804
708;"Temp Att StC";HOUR;1765951200;2025;12;17;7;51;3;27,900;26,640;27,758;26,640;27,960;193,880;6,000;-1,260;27,758
704;"Temp Att StB";HOUR;1765951200;2025;12;17;7;51;3;26,100;26,040;26,099;26,040;26,140;182,640;6,000;-0,060;26,099
700;"Temp Att StA";HOUR;1765951200;2025;12;17;7;51;3;26,760;26,820;26,839;26,760;26,880;187,840;6,000;0,060;26,839
708;"Temp Att StC";HOUR;1765947600;2025;12;17;6;51;3;27,840;27,900;27,872;27,840;27,900;195,100;6,000;0,060;27,872
704;"Temp Att StB";HOUR;1765947600;2025;12;17;6;51;3;26,060;26,100;26,057;26,020;26,100;182,440;6,000;0,040;26,057
700;"Temp Att StA";HOUR;1765947600;2025;12;17;6;51;3;26,760;26,760;26,790;26,760;26,800;187,500;6,000;0,000;26,790
708;"Temp Att StC";HOUR;1765944000;2025;12;17;5;51;3;27,800;27,840;27,810;27,780;27,840;194,680;6,000;0,040;27,810
704;"Temp Att StB";HOUR;1765944000;2025;12;17;5;51;3;26,020;26,060;26,024;26,020;26,060;182,200;6,000;0,040;26,024
700;"Temp Att StA";HOUR;1765944000;2025;12;17;5;51;3;26,720;26,760;26,732;26,700;26,780;187,140;6,000;0,040;26,732
708;"Temp Att StC";HOUR;1765940400;2025;12;17;4;51;3;27,660;27,800;27,742;27,660;27,800;194,180;6,000;0,140;27,742
704;"Temp Att StB";HOUR;1765940400;2025;12;17;4;51;3;25,960;26,020;25,988;25,960;26,020;181,940;6,000;0,060;25,988
700;"Temp Att StA";HOUR;1765940400;2025;12;17;4;51;3;26,660;26,720;26,679;26,660;26,720;186,780;6,000;0,060;26,679
708;"Temp Att StC";HOUR;1765936800;2025;12;17;3;51;3;27,620;27,660;27,693;27,620;27,720;193,800;6,000;0,040;27,693
704;"Temp Att StB";HOUR;1765936800;2025;12;17;3;51;3;25,940;25,960;25,960;25,940;26,020;181,720;6,000;0,020;25,960
700;"Temp Att StA";HOUR;1765936800;2025;12;17;3;51;3;26,660;26,660;26,677;26,660;26,700;186,720;6,000;0,000;26,677
708;"Temp Att StC";HOUR;1765933200;2025;12;17;2;51;3;27,600;27,620;27,615;27,560;27,640;193,300;6,000;0,020;27,615
704;"Temp Att StB";HOUR;1765933200;2025;12;17;2;51;3;25,900;25,940;25,917;25,880;25,940;181,440;6,000;0,040;25,917
700;"Temp Att StA";HOUR;1765933200;2025;12;17;2;51;3;26,640;26,660;26,644;26,620;26,660;186,520;6,000;0,020;26,644
708;"Temp Att StC";HOUR;1765929600;2025;12;17;1;51;3;27,520;27,600;27,547;27,500;27,600;192,840;6,000;0,080;27,547
704;"Temp Att StB";HOUR;1765929600;2025;12;17;1;51;3;25,840;25,900;25,867;25,840;25,900;181,100;6,000;0,060;25,867
700;"Temp Att StA";HOUR;1765929600;2025;12;17;1;51;3;26,620;26,640;26,608;26,600;26,640;186,280;6,000;0,020;26,608
708;"Temp Att StC";DAY;1765926000;2025;12;17;;51;3;27,420;27,940;26,866;24,020;27,960;4513,120;144,000;0,520;644,788
708;"Temp Att StC";HOUR;1765926000;2025;12;17;0;51;3;27,420;27,520;27,482;27,420;27,520;192,360;6,000;0,100;27,482
704;"Temp Att StB";DAY;1765926000;2025;12;17;;51;3;25,760;26,200;25,840;24,920;26,220;4341,320;144,000;0,440;620,163
704;"Temp Att StB";HOUR;1765926000;2025;12;17;0;51;3;25,760;25,840;25,808;25,760;25,840;180,680;6,000;0,080;25,808
700;"Temp Att StA";DAY;1765926000;2025;12;17;;51;3;26,580;27,380;26,909;25,800;27,380;4494,720;143,000;0,800;645,826
700;"Temp Att StA";HOUR;1765926000;2025;12;17;0;51;3;26,580;26,620;26,595;26,580;26,620;186,180;6,000;0,040;26,595
708;"Temp Att StC";HOUR;1765922400;2025;12;16;23;51;2;27,420;27,420;27,420;27,400;27,440;191,940;6,000;0,000;27,420
704;"Temp Att StB";HOUR;1765922400;2025;12;16;23;51;2;25,720;25,760;25,730;25,700;25,760;180,140;6,000;0,040;25,730
700;"Temp Att StA";HOUR;1765922400;2025;12;16;23;51;2;26,420;26,580;26,487;26,400;26,580;185,460;6,000;0,160;26,487
708;"Temp Att StC";HOUR;1765918800;2025;12;16;22;51;2;27,320;27,420;27,351;27,300;27,420;191,480;6,000;0,100;27,351
704;"Temp Att StB";HOUR;1765918800;2025;12;16;22;51;2;25,600;25,720;25,638;25,580;25,720;179,540;6,000;0,120;25,638
700;"Temp Att StA";HOUR;1765918800;2025;12;16;22;51;2;26,180;26,420;26,310;26,180;26,420;184,220;6,000;0,240;26,310
708;"Temp Att StC";HOUR;1765915200;2025;12;16;21;51;2;27,320;27,320;27,277;27,220;27,320;190,980;6,000;0,000;27,277
704;"Temp Att StB";HOUR;1765915200;2025;12;16;21;51;2;25,580;25,600;25,564;25,540;25,600;178,980;6,000;0,020;25,564
700;"Temp Att StA";HOUR;1765915200;2025;12;16;21;51;2;25,860;26,180;25,887;25,780;26,180;181,420;6,000;0,320;25,887
